locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
FBgn0000008,,1,347,NE,Nonessential
FBgn0000014,,1,347,E,Essential
FBgn0000015,,1,347,NE,Nonessential
FBgn0000017,,1,347,NE,Nonessential
FBgn0000018,,1,347,NE,Nonessential
FBgn0000022,,1,347,NE,Nonessential
FBgn0000024,,1,347,NE,Nonessential
FBgn0000028,,1,347,NE,Nonessential
FBgn0000032,,1,347,NE,Nonessential
FBgn0000036,,1,347,NE,Nonessential
FBgn0000037,,1,347,NE,Nonessential
FBgn0000038,,1,347,NE,Nonessential
FBgn0000039,,1,347,NE,Nonessential
FBgn0000042,,1,347,NE,Nonessential
FBgn0000043,,1,347,NE,Nonessential
FBgn0000044,,1,347,NE,Nonessential
FBgn0000045,,1,347,NE,Nonessential
FBgn0000046,,1,347,NE,Nonessential
FBgn0000047,,1,347,NE,Nonessential
FBgn0000052,,1,347,NE,Nonessential
FBgn0000053,,1,347,NE,Nonessential
FBgn0000054,,1,347,NE,Nonessential
FBgn0000055,,1,347,NE,Nonessential
FBgn0000056,,1,347,NE,Nonessential
FBgn0000057,,1,347,NE,Nonessential
FBgn0000061,,1,347,NE,Nonessential
FBgn0000063,,1,347,NE,Nonessential
FBgn0000064,,1,347,NE,Nonessential
FBgn0000071,,1,347,NE,Nonessential
FBgn0000075,,1,347,NE,Nonessential
FBgn0000077,,1,347,NE,Nonessential
FBgn0000078,,1,347,NE,Nonessential
FBgn0000079,,1,347,NE,Nonessential
FBgn0000083,,1,347,NE,Nonessential
FBgn0000084,,1,347,NE,Nonessential
FBgn0000092,,1,347,NE,Nonessential
FBgn0000094,,2,"363,347","NE,NE",Nonessential
FBgn0000097,,1,347,E,Essential
FBgn0000099,,1,347,NE,Nonessential
FBgn0000100,,1,347,NE,Nonessential
FBgn0000108,,1,347,NE,Nonessential
FBgn0000109,,1,347,NE,Nonessential
FBgn0000114,,1,347,NE,Nonessential
FBgn0000115,,1,347,NE,Nonessential
FBgn0000116,,1,347,NE,Nonessential
FBgn0000117,,1,347,NE,Nonessential
FBgn0000119,,1,347,NE,Nonessential
FBgn0000120,,1,347,NE,Nonessential
FBgn0000121,,1,347,NE,Nonessential
FBgn0000137,,1,347,NE,Nonessential
FBgn0000139,,1,347,NE,Nonessential
FBgn0000140,,1,347,NE,Nonessential
FBgn0000142,,1,347,NE,Nonessential
FBgn0000146,,1,347,NE,Nonessential
FBgn0000147,,1,347,NE,Nonessential
FBgn0000150,,1,347,NE,Nonessential
FBgn0000152,,1,347,NE,Nonessential
FBgn0000153,,1,347,NE,Nonessential
FBgn0000157,,1,347,NE,Nonessential
FBgn0000158,,1,347,NE,Nonessential
FBgn0000163,,1,347,NE,Nonessential
FBgn0000166,,1,347,NE,Nonessential
FBgn0000171,,1,347,NE,Nonessential
FBgn0000173,,1,347,NE,Nonessential
FBgn0000179,,1,347,NE,Nonessential
FBgn0000180,,1,347,NE,Nonessential
FBgn0000181,,1,347,NE,Nonessential
FBgn0000182,,1,347,NE,Nonessential
FBgn0000183,,1,347,NE,Nonessential
FBgn0000206,,1,347,NE,Nonessential
FBgn0000210,,1,347,NE,Nonessential
FBgn0000212,,1,347,NE,Nonessential
FBgn0000216,,1,347,NE,Nonessential
FBgn0000221,,1,347,NE,Nonessential
FBgn0000227,,1,347,NE,Nonessential
FBgn0000228,,1,347,NE,Nonessential
FBgn0000229,,1,347,NE,Nonessential
FBgn0000233,,1,347,NE,Nonessential
FBgn0000239,,1,347,NE,Nonessential
