From	To
P39205	FBgn0000316
Q6NR18	FBgn0286511
Q7KML4	FBgn0286511
Q9BP34	FBgn0286511
Q9BP35	FBgn0286511
Q9VC48	FBgn0039219
P22700	FBgn0263006
P05661	FBgn0264695
P06742	FBgn0002772
P35415	FBgn0003149
P35416	FBgn0003149
P19351	FBgn0004169
P18432	FBgn0002773
P48610	FBgn0000116
Q9VFC7	FBgn0038294
P00334	FBgn0000055
P09491	FBgn0004117
Q8MSI2	FBgn0020908
Q9VSA9	FBgn0035817
P36188	FBgn0283471
Q9VM18	FBgn0031908
P13706	FBgn0001128
P18091	FBgn0000667
Q9VIE8	FBgn0010100
P07764	FBgn0000064
P47947	FBgn0013348
Q8IQW5	FBgn0031037
Q9VWG1	FBgn0031037
P54385	FBgn0001098
Q9VXN9	FBgn0030695
Q8T0J3	FBgn0261385
Q9V4P1	FBgn0261385
Q8I7C3	FBgn0063485
P20385	FBgn0000286
P25158	FBgn0003015
Q04652	FBgn0001301
Q9VU68	FBgn0260049
P53501	FBgn0000044
P10981	FBgn0000046
Q9VPX6	FBgn0261458
P07663	FBgn0003068
Q9VEH1	FBgn0000063
Q8T626	FBgn0024510
P13360	FBgn0004618
Q3T7F7	FBgn0011224
Q7KES3	FBgn0011224
Q7KRS7	FBgn0011224
Q8IMF8	FBgn0011224
Q8MT11	FBgn0011224
Q8T0H5	FBgn0011224
Q8WR53	FBgn0011224
Q95UI6	FBgn0011224
P84345	FBgn0013673
O46098	FBgn0013432
P20477	FBgn0001142
Q7JYZ9	FBgn0063498
P22465	FBgn0000084
Q9VG79	FBgn0000455
O77264	FBgn0025630
Q9W3X3	FBgn0029892
Q9VI70	FBgn0037478
Q95SU8	FBgn0037515
Q9V3Z2	FBgn0037515
Q9VED4	FBgn0038566
P08841	FBgn0003888
O97121	FBgn0000566
Q7JXZ2	FBgn0000566
P40417	FBgn0003256
P54611	FBgn0283535
Q9VYD5	FBgn0030482
Q86NZ5	FBgn0036337
Q9VU38	FBgn0036337
Q9VU39	FBgn0036337
P49906	FBgn0011291
P48554	FBgn0014011
Q86R99	FBgn0005536
Q86RA0	FBgn0005536
Q8IQN4	FBgn0005536
Q8MT32	FBgn0005536
Q8MV37	FBgn0005536
Q95SD5	FBgn0005536
Q9VUX6	FBgn0005536
Q9VUX7	FBgn0005536
O46308	FBgn0000826
P20028	FBgn0003278
Q8SZA4	FBgn0000826
P09082	FBgn0001148
P55035	FBgn0015283
O76136	FBgn0025334
Q9W1H7	FBgn0025334
Q961D1	FBgn0025674
Q9VZ07	FBgn0028421
Q8IR14	FBgn0030748
Q960H6	FBgn0030748
Q9VXG5	FBgn0030748
Q9VM49	FBgn0031883
Q8T965	FBgn0034651
Q9VZM7	FBgn0035462
Q9VRQ4	FBgn0035641
P31009	FBgn0004867
Q8WS23	FBgn0041096
Q8WS24	FBgn0041096
Q8WTD1	FBgn0041096
Q8WTD2	FBgn0041096
Q9VTS6	FBgn0041096
Q9VTS8	FBgn0041096
Q9VTS9	FBgn0041096
Q9V3D0	FBgn0001995
Q7K0E6	FBgn0002069
Q9XYM1	FBgn0002069
Q961H1	FBgn0037375
Q9VNI0	FBgn0037375
P32023	FBgn0000721
Q03043	FBgn0000721
Q9W1I2	FBgn0004581
Q9W227	FBgn0034753
P22058	FBgn0000412
Q9VVL7	FBgn0036762
Q9VHB1	FBgn0037715
Q9VL27	FBgn0032192
Q7KWG9	FBgn0039972
P23625	FBgn0004435
