Interactor A,Interactor B,Interaction Score
P02574,P39205,0.92873566
P02574,Q6NR18,0.297354
P02574,Q7KML4,0.297354
P02574,Q9BP34,0.297354
P02574,Q9BP35,0.297354
P02574,Q9VC48,0.297354
P02574,P22700,0.971752872
P02574,P05661,0.990830311696
P02574,P06742,0.98943155848
P02574,P35415,0.889187578
P02574,P35416,0.7830322
P02574,P19351,0.971752872
P02574,P18432,0.9886822264
P02574,P48610,0.889187578
P02574,Q9VFC7,0.792944
P02574,P00334,0.792944
P02574,P09491,0.9874333396
P02574,Q8MSI2,0.7830322
P02574,Q9VSA9,0.693826
P02574,P36188,0.978691132
P02574,Q9VM18,0.7830322
P02574,P13706,0.99001437232
P02574,P18091,0.94955044
P02574,Q9VIE8,0.297354
P02574,P07764,0.9853518616
P02574,P47947,0.7830322
P02574,Q8IQW5,0.94955044
P02574,Q9VWG1,0.693826
P02574,P54385,0.89404436
P02574,Q9VXN9,0.5055018
P02574,Q8T0J3,0.7830322
P02574,Q9V4P1,0.985629392
P02574,Q8I7C3,0.99084696352
P02574,P20385,0.792944
P02574,P25158,0.89404436
P02574,Q04652,0.947468962
P02574,Q9VU68,0.985827628
P02574,P53501,0.947468962
P02574,P10981,0.9824377924
P02574,Q9VPX6,0.94955044
P39205,Q6NR18,0.2811
P39205,Q7KML4,0.2811
P39205,Q9BP34,0.2811
P39205,Q9BP35,0.2811
P39205,Q9VC48,0.2811
P39205,P07663,0.8727218
P39205,Q9VEH1,0.6559
P39205,Q8T626,0.89952
P39205,P13360,0.7496
P39205,Q3T7F7,0.2811
P39205,Q7KES3,0.2811
P39205,Q7KRS7,0.2811
P39205,Q8IMF8,0.2811
P39205,Q8MT11,0.2811
P39205,Q8T0H5,0.2811
P39205,Q8WR53,0.2811
P39205,Q95UI6,0.2811
P39205,P84345,0.89952
P39205,O46098,0.6559
P39205,P20477,0.6559
P39205,Q7JYZ9,0.74023
P39205,P22465,0.2811
P39205,Q9VG79,0.2811
P39205,O77264,0.2811
P39205,Q9W3X3,0.74023
P39205,Q9VI70,0.74023
P39205,Q95SU8,0.2811
P39205,Q9V3Z2,0.2811
P39205,Q9VED4,0.74023
P39205,P08841,0.9094522
P39205,O97121,0.2811
P39205,Q7JXZ2,0.74023
P39205,P40417,0.897646
P39205,P54611,0.897646
P39205,Q9VYD5,0.877969
P39205,Q86NZ5,0.2811
P39205,Q9VU38,0.799261
P39205,Q9VU39,0.74023
P39205,P49906,0.89952
P39205,P48554,0.2811
P39205,Q86R99,0.2811
P39205,Q86RA0,0.2811
P39205,Q8IQN4,0.74023
P39205,Q8MT32,0.2811
P39205,Q8MV37,0.2811
P39205,Q95SD5,0.2811
P39205,Q9VUX6,0.74023
P39205,Q9VUX7,0.74023
P39205,O46308,0.74023
P39205,P20028,0.2811
P39205,Q8SZA4,0.2811
P39205,P09082,0.7496
P39205,P55035,0.935347132
P39205,O76136,0.2811
P39205,Q9W1H7,0.2811
P39205,Q961D1,0.74023
P39205,Q9VZ07,0.74023
P39205,Q8IR14,0.877969
P39205,Q960H6,0.74023
P39205,Q9VXG5,0.74023
P39205,Q9VM49,0.2811
P39205,Q8T965,0.93168721
P39205,Q9VZM7,0.2811
P39205,Q9VRQ4,0.6559
P39205,Q24389,0.2811
P39205,P31009,0.93332696
P39205,Q8WS23,0.2811
P39205,Q8WS24,0.2811
P39205,Q8WTD1,0.2811
P39205,Q8WTD2,0.2811
P39205,Q9VTS6,0.74023
P39205,Q9VTS8,0.74023
P39205,Q9VTS9,0.9291292
P39205,Q9V3D0,0.85267
P39205,Q7K0E6,0.845174
P39205,Q9XYM1,0.2811
P39205,Q961H1,0.6559
P39205,Q9VNI0,0.6559
P39205,P32023,0.74023
P39205,Q03043,0.9094522
P39205,Q9W1I2,0.9291292
P39205,Q9W227,0.74023
P39205,P22058,0.7496
P39205,Q9VVL7,0.6559
P39205,Q9VHB1,0.2811
P39205,Q9VL27,0.85267
P39205,Q7KWG9,0.6559
P39205,P23625,0.2811
P39205,Q7KJ69,0.6559
P39205,Q9VNX7,0.877969
P39205,Q9VB23,0.799261
P39205,O97143,0.897646
P39205,P35415,0.8405827
P39205,P35416,0.74023
P39205,Q7K306,0.877969
P39205,Q94877,0.2811
P39205,B6VQA1,0.2811
P39205,O46070,0.6559
P39205,A1Z6E0,0.936790112
P39205,O46060,0.2811
P39205,Q9I7Z8,0.2811
P39205,Q9W351,0.47787
P39205,Q8MS22,0.2811
P39205,Q8SXY9,0.2811
P39205,Q9VYL7,0.2811
P39205,Q9W1P1,0.2811
P39205,Q9W0M7,0.877969
P39205,Q8T9L6,0.2811
P39205,Q95RR8,0.877969
P39205,Q9VS41,0.74023
P39205,Q9VG22,0.74023
P39205,Q8MSW5,0.2811
P39205,Q9VAZ0,0.74023
P39205,Q95TJ9,0.2811
P39205,Q7PLE9,0.74023
P39205,Q8MRG8,0.2811
P39205,A1Z743,0.2811
