From	To
P02574	FBgn0000045
P39205	FBgn0000316
Q24558	FBgn0015553
Q6NR18	FBgn0286511
Q7KML4	FBgn0286511
Q9BP34	FBgn0286511
Q9BP35	FBgn0286511
Q9VC48	FBgn0039219
P07663	FBgn0003068
Q9VEH1	FBgn0000063
Q8T626	FBgn0024510
Q27324	FBgn0015380
P13360	FBgn0004618
Q3T7F7	FBgn0011224
Q7KES3	FBgn0011224
Q7KRS7	FBgn0011224
Q8IMF8	FBgn0011224
Q8MT11	FBgn0011224
Q8T0H5	FBgn0011224
Q8WR53	FBgn0011224
Q95UI6	FBgn0011224
P84345	FBgn0013673
O46098	FBgn0013432
C0HKQ7	FBgn0000276
A1Z6G4	FBgn0039970
Q8SYU4	FBgn0039970
C0HKQ8	FBgn0000277
Q8IH97	FBgn0051204
Q8IMG8	FBgn0051204
Q9VQ95	FBgn0051679
P20477	FBgn0001142
Q7JYZ9	FBgn0063498
P22465	FBgn0000084
Q9VG79	FBgn0000455
O77264	FBgn0025630
Q9W3X3	FBgn0029892
Q9W3J1	FBgn0030011
Q7JR71	FBgn0033631
Q95SU8	FBgn0037515
Q9V3Z2	FBgn0037515
Q9VED4	FBgn0038566
Q9VB74	FBgn0039488
P08841	FBgn0003888
O97121	FBgn0000566
Q7JXZ2	FBgn0000566
P40417	FBgn0003256
P31264	FBgn0051481
P54611	FBgn0283535
Q9VYD5	FBgn0030482
Q7K237	FBgn0032078
Q86NZ5	FBgn0036337
Q9VU38	FBgn0036337
Q9VU39	FBgn0036337
P49906	FBgn0011291
Q27294	FBgn0285954
P09615	FBgn0284084
P48554	FBgn0014011
Q86R99	FBgn0005536
Q86RA0	FBgn0005536
Q8IQN4	FBgn0005536
Q8MT32	FBgn0005536
Q8MV37	FBgn0005536
Q95SD5	FBgn0005536
Q9VUX6	FBgn0005536
Q9VUX7	FBgn0005536
O46308	FBgn0000826
P20028	FBgn0003278
Q8SZA4	FBgn0000826
P09082	FBgn0001148
Q24317	FBgn0011762
P55035	FBgn0015283
O46197	FBgn0015583
O76136	FBgn0025334
Q9W1H7	FBgn0025334
Q961D1	FBgn0025674
Q9VZ07	FBgn0028421
Q8IR14	FBgn0030748
Q960H6	FBgn0030748
Q9VXG5	FBgn0030748
Q9VWT7	FBgn0030929
Q9VM49	FBgn0031883
Q8T965	FBgn0034651
Q9VZM7	FBgn0035462
Q9VRQ4	FBgn0035641
Q7JVY2	FBgn0000996
A6MHQ4	FBgn0085442
Q7KKH3	FBgn0033379
P31009	FBgn0004867
Q8IGY2	FBgn0039081
Q8IMY7	FBgn0039081
Q9VCL9	FBgn0039081
Q8WS23	FBgn0041096
Q8WS24	FBgn0041096
Q8WTD1	FBgn0041096
Q8WTD2	FBgn0041096
Q9VTS6	FBgn0041096
Q9VTS8	FBgn0041096
Q9VTS9	FBgn0041096
Q5BI79	FBgn0052677
Q9W2S5	FBgn0052677
Q0E924	FBgn0010551
Q9V3D0	FBgn0001995
Q8IHE3	FBgn0038683
Q95SB6	FBgn0038683
Q95U00	FBgn0038683
Q9VDZ7	FBgn0038683
Q9VDZ8	FBgn0038683
Q9VUT6	FBgn0036529
Q7K0E6	FBgn0002069
Q9XYM1	FBgn0002069
Q961H1	FBgn0037375
Q9VNI0	FBgn0037375
Q24142	FBgn0015239
P32023	FBgn0000721
Q03043	FBgn0000721
Q9W1I2	FBgn0004581
Q9W227	FBgn0034753
P22058	FBgn0000412
Q0E8E8	FBgn0026409
Q8SYD4	FBgn0026409
Q9XZE4	FBgn0026409
Q9VVL7	FBgn0036762
Q9VHB1	FBgn0037715
P32030	FBgn0003430
Q8MYY3	FBgn0032192
Q9VL27	FBgn0032192
Q9VIY9	FBgn0032763
Q9VBW6	FBgn0039286
Q7KWG9	FBgn0039972
Q7KWH0	FBgn0039972
Q8SXS3	FBgn0039972
